fake name,school,sex,race/ethnicity,academic engagement,Random Number,Selected (X),school,sex,race,academic engagement
"Davis, Ryah",Liberal Arts,female,White,23,0.239114573,,,,,
"Colaroso, Mikeala",Liberal Arts,female,White,33,0.239157351,,,,,
"Snyder, Matthew",Natural Sciences,male,White,32,0.239237076,,,,,
"Gerhardy, Kacy",Engineering,female,White,37,0.239238008,,,,,
"Cisneros, Daniela",Business Administration,female,Hispanic,40,0.239265371,,,,,
"Thirdgill, Kedrick",Natural Sciences,male,Other,33,0.239269762,,,,,
"Chen, Koafeng",Fine Arts,female,Asian/Pacific Islander,41,0.239301689,,,,,
"Farrell, Jesse",Business Administration,male,White,34,0.239315007,,,,,
"Samoy, Donovan",Geosciences,male,Other,44,0.239333602,,,,,
"Murillo, Stephen",Business Administration,male,White,39,0.239383371,,,,,
"Myers, Luis",Natural Sciences,male,Hispanic,31,0.239412855,,,,,
"Moreno, Lauren",Natural Sciences,female,Hispanic,35,0.239435019,,,,,
"Masters, Connor",Engineering,male,White,46,0.239443156,,,,,
"Montano, Angelica",Natural Sciences,female,Hispanic,30,0.239459764,,,,,
"Crain, Madison",Natural Sciences,female,White,42,0.239469731,,,,,
"Mcanally, Brandon",Engineering,male,White,40,0.239481227,,,,,
"Wendland, Todd",Nursing,male,White,37,0.239555531,,,,,
"Templeton-Freeman, Sydney",Liberal Arts,female,White,26,0.239563033,,,,,
"Vu, Keaton",Natural Sciences,male,Asian/Pacific Islander,27,0.239573522,,,,,
"Nanin, Taylor",Liberal Arts,male,White,23,0.239579142,,,,,
"Cummings, Patricia",Fine Arts,female,White,41,0.239647016,,,,,
"Grant, Jason",Fine Arts,male,White,41,0.23966463,,,,,
"Puga, Karina",Natural Sciences,female,Hispanic,24,0.239666076,,,,,
"Bearden, Madeline",Natural Sciences,female,White,35,0.239690907,,,,,
"Navarrete, Daniel",Engineering,male,Hispanic,52,0.239699722,,,,,
"Dodd, Elva",Education,female,White,32,0.239699964,,,,,
"Nodland, Taylor",Undergraduate Studies,female,White,32,0.239708014,,,,,
"Lucero, Angelica",Liberal Arts,female,Hispanic,30,0.239731572,,,,,
"Dashyan, Mikayla",Liberal Arts,female,White,32,0.239779924,,,,,
"Parsons, Alyssa",Undergraduate Studies,female,White,37,0.239791693,,,,,
"Weaver, Michael",Natural Sciences,male,White,28,0.239798402,,,,,
"Reed, Brandi",Undergraduate Studies,female,Other,39,0.239850957,,,,,
"Showers, Crystal",Liberal Arts,female,White,28,0.239868878,,,,,
"Peterson, Kira",Natural Sciences,female,White,35,0.239891038,,,,,
"Buning, Alex",Natural Sciences,male,Asian/Pacific Islander,33,0.23991877,,,,,
"Hernandez, Marcos",Education,male,Hispanic,29,0.239945606,,,,,
"Todd, Phillip",Business Administration,male,White,34,0.240013457,,,,,
"Reed, Matthew",Liberal Arts,male,Other,31,0.240024121,,,,,
"Ault, Connor",Engineering,male,White,39,0.240060918,,,,,
"Morgan, Jordan",Communication,female,White,36,0.240077174,,,,,
"Davenport, Ryan",Liberal Arts,male,White,21,0.240082671,,,,,
"Alcalde, David",Business Administration,male,Hispanic,46,0.240086773,,,,,
"Bongiorno, Abbigail",Natural Sciences,male,White,31,0.240129363,,,,,
"Gilbert, Randall",Fine Arts,male,White,60,0.240241638,,,,,
"Speer Jr, Monick",Natural Sciences,female,Hispanic,37,0.240273405,,,,,
"Oliver, Anna",Liberal Arts,female,White,31,0.240279381,,,,,
"Navarro, Kenneth",Natural Sciences,male,Hispanic,38,0.240334418,,,,,
"Torres Almanza, Johnna",Education,female,Hispanic,47,0.240374707,,,,,
"Plumber, Anjelika",Undergraduate Studies,female,Black,34,0.240452683,,,,,
"Reetz, Haley",Education,female,White,57,0.24047959,,,,,
"Babbs, Nazrawe",Education,male,Other,29,0.240500595,,,,,
"Perez, Sarah",Business Administration,female,Asian/Pacific Islander,41,0.240520109,,,,,
"Getz, Kaitlen",Nursing,female,White,36,0.240533328,,,,,
"Bowers, Lamont",Communication,male,Black,28,0.240554216,,,,,
"Montez, Allen",Undergraduate Studies,male,Hispanic,31,0.240571167,,,,,
"Arent, Aleena",Undergraduate Studies,female,White,46,0.240602324,,,,,
"Galvin, Hailey",Communication,female,White,50,0.240617257,,,,,
"Nguyen, Justin",Education,male,Asian/Pacific Islander,33,0.240628488,,,,,
"Mason, Joelle",Natural Sciences,female,Black,38,0.240685889,,,,,
"Marez, Mark",Fine Arts,male,Hispanic,39,0.240730846,,,,,
"Parino, Joshua",Business Administration,male,Asian/Pacific Islander,41,0.240740758,,,,,
"Montoya, Sierrea",Natural Sciences,female,Hispanic,39,0.240780001,,,,,
"Garcia-Vasquez, Juan",Engineering,male,Hispanic,42,0.24078287,,,,,
"Hong, Daniel",Undergraduate Studies,male,Asian/Pacific Islander,27,0.240804259,,,,,
"Ghale, Hugh",Business Administration,male,Asian/Pacific Islander,35,0.240810532,,,,,
"Aken, Chaneci",Education,female,Hispanic,39,0.240827331,,,,,
"Chavez, Dominick",Natural Sciences,male,Hispanic,35,0.240831654,,,,,
"Beenken, Dana",Liberal Arts,female,White,31,0.24083306,,,,,
"Bernal, Max",Natural Sciences,male,White,32,0.24084752,,,,,
"Jensen, Sean",Business Administration,male,Asian/Pacific Islander,48,0.240879434,,,,,
"Dilldine, Quincy",Communication,female,White,35,0.240883445,,,,,
"Sullivan, Mackenzie",Natural Sciences,female,White,34,0.240915417,,,,,
"Thornton, Jean",Liberal Arts,male,White,27,0.240923765,,,,,
"Forman, Christopher",Engineering,male,White,40,0.240957868,,,,,
"Armbrecht, Rachel",Liberal Arts,female,White,29,0.240970555,,,,,
"Graham, Zachary",Natural Sciences,male,White,33,0.240988183,,,,,
"Linn, Linsey",Liberal Arts,female,White,41,0.240993804,,,,,
"Hooper, Larue",Business Administration,male,White,56,0.241006192,,,,,
"Puente Puente, Esmeralda",Natural Sciences,female,Hispanic,35,0.241044883,,,,,
"Doughty, Connor",Engineering,male,White,37,0.241045668,,,,,
"Hall, Shelbie",Liberal Arts,female,Black,26,0.24107702,,,,,
"White, Solomon",Communication,male,Black,37,0.241082123,,,,,
"Lopez, Joseph",Natural Sciences,male,Hispanic,36,0.241105559,,,,,
"Mcfarlin, Jackson",Natural Sciences,male,White,43,0.241133526,,,,,
"Wesley, Onevar",Natural Sciences,female,Black,35,0.241143295,,,,,
"Duran, Francisco",Undergraduate Studies,male,Hispanic,32,0.241164921,,,,,
"Strabala, Alexander",Natural Sciences,male,White,32,0.241184228,,,,,
"Miyazawa, Andrew",Natural Sciences,male,Asian/Pacific Islander,35,0.241299822,,,,,
"Pham, Andrew",Engineering,male,Asian/Pacific Islander,36,0.241322384,,,,,
"An, Daniel",Liberal Arts,male,Asian/Pacific Islander,30,0.241329557,,,,,
"Katz, Zachariah",Communication,male,Hispanic,31,0.241370397,,,,,
"Touhey, Nathan",Natural Sciences,male,White,36,0.241405993,,,,,
"Cross, Shannon",Natural Sciences,female,White,43,0.241413351,,,,,
"Villarreal, Joseph",Natural Sciences,male,Hispanic,30,0.241415837,,,,,
"Martinez-Salazar, Ashley",Education,female,Hispanic,32,0.24142722,,,,,
"Kim, Allysia",Education,female,Other,36,0.241430577,,,,,
"Minutolo, Ryan",Natural Sciences,male,Asian/Pacific Islander,34,0.241433997,,,,,
"Aguayo, Miriya",Engineering,female,Hispanic,43,0.241442318,,,,,
"Erwin, Alexander",Engineering,male,White,41,0.241477993,,,,,
"Reed, Patrick",Natural Sciences,male,White,37,0.241484619,,,,,
"Erickson, Hunter",Business Administration,male,White,33,0.241552628,,,,,
"Bennett, Kirsten",Communication,female,White,42,0.241554475,,,,,
"Stark-Clark, Chantress",Liberal Arts,female,Black,35,0.241558635,,,,,
"Bennett, Travis",Communication,male,White,32,0.241627615,,,,,
"Broughton, Jaclyn",Natural Sciences,female,White,30,0.241632084,,,,,
"Navarro, Kaitlynn",Liberal Arts,female,Hispanic,32,0.241636842,,,,,
"Delval Castrejon, Jose",Liberal Arts,male,Hispanic,26,0.241735719,,,,,
"Arquiro, Jose",Communication,male,Hispanic,29,0.241780536,,,,,
"Aslami, Grant",Natural Sciences,male,Asian/Pacific Islander,29,0.241806341,,,,,
"Roberts, Raul",Business Administration,male,Other,34,0.241830075,,,,,
"Kielar, Nicole",Communication,female,White,38,0.241871601,,,,,
"Rodriguez, Luis",Natural Sciences,male,Hispanic,39,0.241965406,,,,,
"Small, Nigel",Natural Sciences,male,Black,43,0.241967715,,,,,
"Brinton, Joseph",Liberal Arts,male,White,26,0.241974078,,,,,
"Sandoval, Destiny",Communication,female,Hispanic,32,0.241975694,,,,,
"Harrison, Becca",Natural Sciences,female,White,40,0.242002876,,,,,
"Lieu, John",Liberal Arts,male,Asian/Pacific Islander,24,0.242017924,,,,,
"Yu, Shivani",Engineering,female,Asian/Pacific Islander,39,0.242026817,,,,,
"Sides, Saehnerdoe",Natural Sciences,male,Asian/Pacific Islander,28,0.242057376,,,,,
"Downs, Tanner",Liberal Arts,male,Hispanic,32,0.242063433,,,,,
"Gonzalez, John",Liberal Arts,male,Hispanic,33,0.242108809,,,,,
"Cordova, Brittany",Communication,female,White,39,0.24211244,,,,,
"Macias-Cervantes, Ramon",Liberal Arts,male,Hispanic,24,0.24212952,,,,,
"Marquez, Andre",Liberal Arts,male,Hispanic,35,0.242199859,,,,,
"Smith, Haylee",Undergraduate Studies,female,White,39,0.242227812,,,,,
"Vue, Salman",Engineering,male,Asian/Pacific Islander,36,0.242230749,,,,,
"Scott, Jazmine",Communication,female,White,48,0.242241106,,,,,
"Martin, Santos",Education,male,Hispanic,28,0.242248219,,,,,
"Dunn, Xavier",Engineering,male,Hispanic,37,0.242266643,,,,,
"Ruybal, Joshua",Engineering,male,White,39,0.242291736,,,,,
"Betancourt, Rena",Fine Arts,female,Hispanic,42,0.242333269,,,,,
"Osowski, Kaitlyn",Business Administration,female,White,36,0.242377109,,,,,
"Dominguez Olivier, Alexandria",Fine Arts,female,Hispanic,46,0.242400944,,,,,
"Blanco, Anna",Education,female,White,28,0.242437909,,,,,
"Holm, Jasmine",Communication,female,White,34,0.242448346,,,,,
"Martinez Montanez, Jesus",Undergraduate Studies,male,Hispanic,31,0.242607778,,,,,
"Plant, Kaylin",Engineering,female,White,39,0.24264657,,,,,
"Yaffe, Ashley",Liberal Arts,female,White,30,0.24265911,,,,,
"Parisi, Skylar",Fine Arts,female,White,39,0.242678325,,,,,
"Khan, Min",Business Administration,female,Asian/Pacific Islander,36,0.242710093,,,,,
"Peterson, Brittany",Liberal Arts,female,White,36,0.242711016,,,,,
"Silvas Pesina, Mayra",Communication,female,Hispanic,47,0.242736864,,,,,
"Filipi, Zoe",Natural Sciences,female,White,54,0.242742671,,,,,
"Guerra, Brendan",Engineering,male,Asian/Pacific Islander,37,0.242800973,,,,,
"Langbata, Kayleigh",Natural Sciences,female,Asian/Pacific Islander,45,0.242856542,,,,,
"Rico Vargas, Guadalupe",Natural Sciences,male,Hispanic,36,0.242902459,,,,,
"Squalls, Ashley",Liberal Arts,female,Other,29,0.242916777,,,,,
"Zheng, Shim",Natural Sciences,female,Asian/Pacific Islander,37,0.242922022,,,,,
"Garner, Devin",Business Administration,male,White,35,0.242978101,,,,,
"Baier, Chelsea",Natural Sciences,female,Other,36,0.242995898,,,,,
"Flores, Estrella",Liberal Arts,female,Hispanic,29,0.243006914,,,,,
"Schaffer, Delaney",Education,female,White,36,0.243008809,,,,,
"Castanon-Banuelos, Melissa",Liberal Arts,female,Hispanic,48,0.243018185,,,,,
"Hernandez Franco, Mariah",Engineering,female,Hispanic,46,0.243051638,,,,,
"Castaneda, Lea",Liberal Arts,female,Hispanic,30,0.243065561,,,,,
"Heller, Eric",Undergraduate Studies,male,White,25,0.2430688,,,,,
"Eggleston, Trey",Business Administration,male,White,32,0.243087311,,,,,
"Vue, Phoua",Liberal Arts,female,Asian/Pacific Islander,60,0.243088765,,,,,
"Ferrell, Garrett",Undergraduate Studies,male,White,25,0.243099291,,,,,
"Garcia, Christa",Undergraduate Studies,female,Other,35,0.243132414,,,,,
"Crane, James",Engineering,male,White,43,0.243136841,,,,,
"Mirabal, Kayla",Liberal Arts,female,Hispanic,53,0.243149278,,,,,
"Johnson, Sean",Natural Sciences,male,Black,42,0.243155905,,,,,
"Webster, Tyler",Liberal Arts,male,White,27,0.243184578,,,,,
"Senour, Tanner",Communication,male,White,30,0.243193061,,,,,
"Kim, Lian",Natural Sciences,female,Other,38,0.243239498,,,,,
"Le, Divyanka",Natural Sciences,female,Other,36,0.243254664,,,,,
"Lehman, Kyla",Nursing,female,White,31,0.243262883,,,,,
"Klekot, Chance",Natural Sciences,male,White,29,0.243289842,,,,,
"Ouk, Brandon",Natural Sciences,male,Asian/Pacific Islander,30,0.243332328,,,,,
"Caotrieu, Julianna",Natural Sciences,female,Other,36,0.243431422,,,,,
"Hagerman, Stephanie",Social Work,female,White,38,0.243435142,,,,,
"Frye, Erik",Natural Sciences,male,White,43,0.243466028,,,,,
"Albright, Brenna",Education,female,White,30,0.243467534,,,,,
"Reuse, Malik",Liberal Arts,male,Black,25,0.243508748,,,,,
"Andrews, Benjamin",Natural Sciences,male,White,29,0.243523187,,,,,
"Salazar, Nicole",Communication,female,Other,60,0.243545699,,,,,
"Mustard, Lindsey",Liberal Arts,female,White,30,0.243549256,,,,,
"Mccracken, Melat",Undergraduate Studies,female,Black,24,0.243573352,,,,,
"Tran, Christina",Nursing,female,Asian/Pacific Islander,37,0.24362219,,,,,
"Smith, Ariel",Liberal Arts,female,Black,29,0.243651489,,,,,
"Hocking, Kylie",Engineering,female,White,43,0.243656571,,,,,
"Mota Robledo, Maria",Liberal Arts,female,Hispanic,35,0.243743324,,,,,
"Peiffer, Aarti",Liberal Arts,female,Asian/Pacific Islander,28,0.243748988,,,,,
"Fraro, Dominic",Undergraduate Studies,male,White,37,0.243752039,,,,,
"Royse, Kaileigh",Nursing,female,White,40,0.243757014,,,,,
"Robinson, Ashlee",Engineering,female,Asian/Pacific Islander,44,0.243769452,,,,,
"Herold, Hung",Natural Sciences,male,Asian/Pacific Islander,31,0.243812591,,,,,
"Rodman, Andrew",Liberal Arts,male,White,23,0.243831397,,,,,
"Rothfuss, Madison",Natural Sciences,female,White,36,0.244060079,,,,,
"Cannon, Halie",Liberal Arts,female,Black,36,0.244067321,,,,,
"Needham, Haley",Engineering,female,Other,35,0.244079046,,,,,
"Starr, Tyler",Liberal Arts,male,Other,28,0.244113021,,,,,
"Kessler, Nicolas",Communication,male,White,35,0.244122832,,,,,
"Averitt, Jessica",Communication,female,Hispanic,33,0.244174797,,,,,
"Colbert, Jamie",Business Administration,female,Asian/Pacific Islander,44,0.244207372,,,,,
"Sher, Lee",Natural Sciences,male,Asian/Pacific Islander,31,0.244270265,,,,,
"Gonzales, Wyona",Natural Sciences,female,American Indian,42,0.244280896,,,,,
"Nesenson, Dominique",Communication,female,Black,55,0.244330657,,,,,
"Fan, Cheryl",Natural Sciences,female,Asian/Pacific Islander,33,0.244367261,,,,,
"Yu, Victoria",Fine Arts,female,Asian/Pacific Islander,44,0.244381187,,,,,
"Reimers, Deanna",Education,female,White,35,0.244392632,,,,,
"Cisneros, Fernando",Natural Sciences,male,Hispanic,32,0.244398309,,,,,
"Jain, Zan",Liberal Arts,male,Asian/Pacific Islander,27,0.244410254,,,,,
"Lucero, Emmett",Liberal Arts,male,Black,26,0.244439519,,,,,
"Saulsberry, Talia",Education,female,Black,38,0.244477268,,,,,
"Mccaffrey, Maiya",Geosciences,female,White,41,0.244486861,,,,,
"Kelley, Savannah",Business Administration,female,White,32,0.244525716,,,,,
"Dang, Je Young",Liberal Arts,male,Asian/Pacific Islander,32,0.244532044,,,,,
"Methuselah, Alyssia",Liberal Arts,female,Asian/Pacific Islander,30,0.244571041,,,,,
"Stabler, Makayla",Engineering,female,White,46,0.244658214,,,,,
"Tran, Chisa",Communication,female,Asian/Pacific Islander,41,0.244673751,,,,,
"Brown, Stephen",Liberal Arts,male,White,32,0.244690005,,,,,
"Prado-Carrillo, Jorge",Communication,male,Hispanic,31,0.244812755,,,,,
"Punzal, Austin",Engineering,male,Asian/Pacific Islander,43,0.244824725,,,,,
"Reyna, Jacob",Liberal Arts,male,Hispanic,34,0.244825628,,,,,
"Askew, Samuel",Natural Sciences,male,Black,34,0.244856625,,,,,
"Bobb, Marek",Education,male,Black,34,0.244864789,,,,,
"Handy, Jesse",Liberal Arts,male,White,29,0.244884189,,,,,
"Mousakhani, Scott",Nursing,male,Asian/Pacific Islander,36,0.244936095,,,,,
"Schuyler, Darrel",Liberal Arts,male,Asian/Pacific Islander,26,0.244937593,,,,,
"Orndoff, Benjamin",Liberal Arts,male,White,29,0.244950636,,,,,
"Berryhill, Spencer",Engineering,male,White,36,0.244975374,,,,,
"Sutton, Jennifer",Natural Sciences,female,White,41,0.245038764,,,,,
"Davis, Tanner",Engineering,male,White,45,0.245061906,,,,,
"Trulson, Benjamin",Engineering,male,White,37,0.245066854,,,,,
"Bock, Amber",Communication,female,White,45,0.245074707,,,,,
"O'Steen, Shawn",Business Administration,male,White,32,0.245081112,,,,,
"Seigal, Mariah",Communication,female,White,32,0.245104948,,,,,
"Contreras, Haley",Communication,female,White,32,0.245129792,,,,,
"Johnson, Bianca",Engineering,female,Other,51,0.245179869,,,,,
"Villanueva, Yenesis",Business Administration,female,Hispanic,35,0.245192596,,,,,
"Rhatigan, Robyn Jo",Communication,female,Asian/Pacific Islander,33,0.245206038,,,,,
"Morelli, Rudolph",Education,male,Hispanic,31,0.245211802,,,,,
"Lund, Leanne",Natural Sciences,female,White,34,0.245242647,,,,,
"Mcconachy, Vinh",Natural Sciences,male,Asian/Pacific Islander,36,0.245281671,,,,,
"Bonilla, Judy",Liberal Arts,female,Hispanic,30,0.245298441,,,,,
"Le, Mustafa",Natural Sciences,male,Asian/Pacific Islander,26,0.24530073,,,,,
"Swanson, Tamera",Liberal Arts,female,White,30,0.245357202,,,,,
"Hill, Shelby",Natural Sciences,female,White,36,0.245390897,,,,,
"Pham, Bryan",Natural Sciences,male,Asian/Pacific Islander,29,0.24539346,,,,,
"Collings, Johnny",Business Administration,male,Asian/Pacific Islander,55,0.245404178,,,,,
"Wilson, Genevieve",Natural Sciences,female,White,47,0.245408337,,,,,
"Brownlee, Terra",Business Administration,female,White,36,0.245415424,,,,,
"Sudaria, Andrea Eun",Natural Sciences,female,Asian/Pacific Islander,48,0.245456283,,,,,
"Kopecky, Alex",Business Administration,male,White,36,0.245479885,,,,,
"Poole, Jennifer",Liberal Arts,female,White,29,0.245503614,,,,,
"Gomes, Emily",Engineering,female,White,39,0.245536785,,,,,
"Luong, Dominic",Engineering,male,Asian/Pacific Islander,40,0.24553967,,,,,
"Miller, Marielle",Business Administration,female,Asian/Pacific Islander,44,0.245567927,,,,,
"Munoz, Elizabeth",Education,female,Hispanic,29,0.245645847,,,,,
"Cartwright, Timothy",Engineering,male,White,38,0.245663355,,,,,
"Jones, Andrew",Business Administration,male,White,34,0.245671295,,,,,
"Marinelarena, Danielle",Liberal Arts,female,Hispanic,44,0.245672383,,,,,
"Vanmeter, Zachary",Natural Sciences,male,White,40,0.245727575,,,,,
"Guereca, Kymberlee",Fine Arts,female,Hispanic,43,0.245765591,,,,,
"Salinas, George",Education,male,Hispanic,33,0.245789643,,,,,
"Huang, Danial",Natural Sciences,male,Asian/Pacific Islander,42,0.245815629,,,,,
"Abbott, Justin",Business Administration,male,Other,37,0.245900232,,,,,
"Kane, Eric",Liberal Arts,male,Asian/Pacific Islander,22,0.245901943,,,,,
"Wheatlake, Colby",Communication,male,White,32,0.245930186,,,,,
"Fitzgerald, Sarah",Education,female,White,60,0.245953033,,,,,
"Butterfield, Sara",Natural Sciences,female,White,40,0.24598075,,,,,
"Nguyen, Naren",Natural Sciences,male,Asian/Pacific Islander,27,0.246005465,,,,,
"Mcgough, Kylie",Liberal Arts,female,White,29,0.246043802,,,,,
"Blackmond, Tyree",Liberal Arts,male,Other,27,0.246155414,,,,,
"Bui, Bella",Undergraduate Studies,female,Asian/Pacific Islander,42,0.246256535,,,,,
"Vong, Jasmine",Natural Sciences,female,Asian/Pacific Islander,32,0.246268522,,,,,
"Capetillo, Gisela",Engineering,female,Hispanic,49,0.246300914,,,,,
"Florez, Austin",Engineering,male,Hispanic,37,0.246325255,,,,,
"Luong, Atif",Education,male,Asian/Pacific Islander,27,0.246348929,,,,,
"Goodwill, Ana Mai",Liberal Arts,female,White,23,0.246354949,,,,,
"Hunkar, Sarah",Communication,female,Other,55,0.246373714,,,,,
"Pineda, Heidy",Liberal Arts,female,Hispanic,24,0.24641733,,,,,
"Stephens, John",Business Administration,male,Asian/Pacific Islander,40,0.246513036,,,,,
"Johnson, Justin",Communication,male,White,37,0.246560631,,,,,
"Duval, Peter",Liberal Arts,male,Asian/Pacific Islander,23,0.24662634,,,,,
"Navarro, Gardenia",Nursing,female,Hispanic,39,0.246637711,,,,,
"L Etoile, Elizabeth",Liberal Arts,female,White,30,0.246692854,,,,,
"Coffey, Deisy",Social Work,female,White,26,0.246734531,,,,,
"Granados Lozano, Jose",Natural Sciences,male,Hispanic,29,0.246783869,,,,,
"Thompson, Marissa",Liberal Arts,female,White,43,0.246789391,,,,,
"Sprague, Samantha",Liberal Arts,female,White,27,0.246802732,,,,,
"Rictor, Cameron",Business Administration,male,White,33,0.246811651,,,,,
"Lang, Jonah",Liberal Arts,male,White,25,0.246825692,,,,,
"Hestmark, Shelby",Communication,female,White,32,0.246886352,,,,,
"Adams, Cody",Natural Sciences,male,White,34,0.246936219,,,,,
"Corsaro, Kierra",Natural Sciences,female,White,35,0.246960087,,,,,
"Jacobson, Erin",Liberal Arts,female,White,29,0.247001406,,,,,
"Morgione, Jonathan",Natural Sciences,male,Hispanic,34,0.247009086,,,,,
"Crocker, Joshua",Fine Arts,male,White,43,0.247010294,,,,,
"Sanner, Brennan",Engineering,male,White,36,0.247036174,,,,,
"Ediger, Hunter",Natural Sciences,male,White,36,0.247070325,,,,,
"Belmontes Delgado, Christian",Communication,male,Hispanic,31,0.247073822,,,,,
"Xiong, Sravya",Natural Sciences,female,Asian/Pacific Islander,40,0.247081684,,,,,
"Abuzahra, Kelsie",Communication,female,White,32,0.247134309,,,,,
"Sandoval, Edgar",Natural Sciences,male,Hispanic,35,0.247151937,,,,,
"Meza Moreno, Estefany",Liberal Arts,female,Hispanic,34,0.247185035,,,,,
"Geleff, Janelle",Communication,female,Hispanic,41,0.247185105,,,,,
"Rodriguez Hernandez, Cynthia",Liberal Arts,female,Hispanic,25,0.247197825,,,,,
"Vela, Autumn",Liberal Arts,female,Black,30,0.24722167,,,,,
"Torres, Gabriel",Undergraduate Studies,male,Hispanic,33,0.24724289,,,,,
"Abrams, Alexis",Fine Arts,female,Other,43,0.247256839,,,,,
"Choi, Isabella",Engineering,female,Asian/Pacific Islander,50,0.247334582,,,,,
"Russell, Angelica",Education,female,Other,33,0.247434576,,,,,
"Shawish, Jennifer",Liberal Arts,female,Asian/Pacific Islander,31,0.247438955,,,,,
"Ratzlaff, Levi",Business Administration,male,White,42,0.247457467,,,,,
"Vigil, Joanna",Liberal Arts,female,Hispanic,29,0.247464165,,,,,
"Madrigal, Alejandro",Natural Sciences,male,Hispanic,35,0.247466833,,,,,
"Vigil, Johnathan",Natural Sciences,male,Hispanic,30,0.247482488,,,,,
"Pinedo, Viridiana",Education,female,Hispanic,31,0.247514695,,,,,
"Alarid, Larissa",Liberal Arts,female,Hispanic,35,0.247537239,,,,,
"Traxinger, Kelsey",Social Work,female,White,22,0.247584625,,,,,
"Riley, Jarell",Engineering,male,Other,44,0.247630754,,,,,
"Nadiadi, Troy",Natural Sciences,male,Asian/Pacific Islander,38,0.247679788,,,,,
"Berg, Jordan",Natural Sciences,male,White,33,0.247687886,,,,,
"Johnson, Damien",Engineering,male,White,35,0.247693001,,,,,
"Droste, Josh",Liberal Arts,male,White,26,0.247694873,,,,,
"Dunlavy, Trisha",Business Administration,female,White,36,0.247712872,,,,,
"Hernandez, Javier",Undergraduate Studies,male,Hispanic,26,0.24775953,,,,,
"Lovato, Ryen",Communication,female,Hispanic,52,0.247784467,,,,,
"Noonan, Tess",Liberal Arts,female,White,26,0.24780015,,,,,
"Elick, Carl",Engineering,male,White,37,0.24781362,,,,,
"Liu, Madeleine",Natural Sciences,female,Asian/Pacific Islander,42,0.247820955,,,,,
"Dornbos, Ethan",Natural Sciences,male,White,32,0.247842574,,,,,
"Martinez Salinas, Victoria",Liberal Arts,female,Hispanic,27,0.247850014,,,,,
"Wood, Charles",Communication,male,White,35,0.247865804,,,,,
"Trueblood, Malik",Natural Sciences,male,Black,37,0.247867253,,,,,
"Dean, Alexander",Engineering,male,White,38,0.247946611,,,,,
"Morris, Amanda",Business Administration,female,Other,43,0.247949109,,,,,
"Harroun, Dmitri",Undergraduate Studies,male,White,29,0.247952017,,,,,
"Reed, Tyler",Business Administration,male,White,31,0.247954867,,,,,
"Mccrerey, Paige",Natural Sciences,female,White,36,0.247955275,,,,,
"Blair, Megan",Communication,female,White,34,0.247998353,,,,,
"Wilson, Laura",Business Administration,female,White,51,0.248010409,,,,,
"Bravo, Zuleyma",Liberal Arts,female,Hispanic,30,0.24803827,,,,,
"Ngo, Amanda",Natural Sciences,female,Asian/Pacific Islander,35,0.24804169,,,,,
"Bhattacharya, Binh",Liberal Arts,female,Asian/Pacific Islander,35,0.248090141,,,,,
"Karp, James",Natural Sciences,male,Other,36,0.248145114,,,,,
"Guerette, Pamela",Natural Sciences,female,Asian/Pacific Islander,39,0.248166404,,,,,
"Mowery, Genevieve",Education,female,White,34,0.248213563,,,,,
"Bixler, Brandon",Liberal Arts,male,White,23,0.248264082,,,,,
"Chado, Thomas",Engineering,male,White,40,0.248308324,,,,,
"Rehm, Rachel",Natural Sciences,female,White,34,0.24831434,,,,,
"Frazier, Rebecca",Natural Sciences,female,White,34,0.248330632,,,,,
"Lal, Kaci",Liberal Arts,female,Asian/Pacific Islander,31,0.248357903,,,,,
"Deegan, Dakota",Undergraduate Studies,male,White,34,0.248405205,,,,,
"Romero Rios, Devyn",Communication,female,Hispanic,30,0.248424953,,,,,
"Balch, Seth",Natural Sciences,male,White,33,0.248437614,,,,,
"Ma, Saurabh",Natural Sciences,male,Asian/Pacific Islander,33,0.248438566,,,,,
"Mcalister, Aspen",Liberal Arts,female,White,45,0.248438977,,,,,
"Geesen, Reid",Natural Sciences,male,White,36,0.248457621,,,,,
"Fujinami, Gwendolyn",Engineering,female,Asian/Pacific Islander,38,0.248469966,,,,,
"Gonzalez Aguilar, Maria",Communication,female,Hispanic,37,0.248524276,,,,,
"Villalobos, Jessica",Liberal Arts,female,Hispanic,30,0.248571846,,,,,
"Mazotti, Nadeen",Liberal Arts,female,White,25,0.248640654,,,,,
"Gonzales, Yazael",Liberal Arts,male,Hispanic,26,0.248653129,,,,,
"Terrazas-Hernandez, Khyari",Liberal Arts,male,Hispanic,22,0.248655349,,,,,
"Bastidos, Ethan",Business Administration,male,White,29,0.24865744,,,,,
"Mclane, Joy",Liberal Arts,female,White,25,0.248712288,,,,,
"Willis, Natalie",Education,female,White,34,0.248718234,,,,,
"Aquino, Belinda",Natural Sciences,female,Asian/Pacific Islander,37,0.248746605,,,,,
"Thomas, Benjamin",Engineering,male,White,35,0.248789319,,,,,
"Burger, Lucas",Business Administration,male,White,29,0.248790599,,,,,
"Jones, Derek",Fine Arts,male,White,40,0.248870195,,,,,
"Miller, Daria",Communication,female,White,44,0.248880206,,,,,
"Guerra, Brandyn",Business Administration,male,Hispanic,36,0.248907667,,,,,
"Hristopoulos, Alannah",Liberal Arts,female,White,31,0.24892271,,,,,
"Delaney, Jazmeen",Natural Sciences,female,Black,37,0.248925468,,,,,
